Nome,Età,Nazionalità,Tiri,Goal,Assist,Fuorigioco,Palle recuperate,Tackle vinti,Partite Giocate,Minuti,Squadra,Lega,Ruolo
Max Aarons,22.0,ENG,0.41,0.0,0.06,0.03,5.53,1.16,34,2881,Norwich City,Premier League,DF
Yunis Abdelhamid,34.0,MAR,0.54,0.06,0.0,0.0,6.77,1.39,34,2983,Reims,Ligue 1,DF
Salis Abdul Samed,22.0,GHA,0.66,0.04,0.0,0.0,8.76,1.24,31,2462,Clermont Foot,Ligue 1,MF
Laurent Abergel,29.0,FRA,0.91,0.0,0.06,0.03,8.87,2.23,34,2956,Lorient,Ligue 1,MF
Charles Abi,22.0,FRA,0.0,0.0,0.0,0.0,4.0,0.0,1,45,Saint-Ãtienne,Ligue 1,FW
Dickson Abiama,23.0,NGA,2.22,0.0,0.12,1.85,4.81,0.86,24,726,Greuther FÃ¼rth,Bundesliga,FW
Matthis Abline,19.0,FRA,1.82,0.0,0.0,0.0,6.36,0.0,7,103,Rennes,Ligue 1,FW
Tammy Abraham,24.0,ENG,2.71,0.5,0.12,0.5,3.67,0.64,37,3084,Roma,Serie A,FW
Luis Abram,26.0,PER,0.32,0.0,0.0,0.0,4.03,0.97,8,560,Granada,La Liga,DF
Francesco Acerbi,34.0,ITA,0.57,0.14,0.0,0.14,10.7,0.43,30,2536,Lazio,Serie A,DF
Ragnar Ache,23.0,GER,3.79,0.0,0.34,2.07,5.17,0.69,13,259,Eint Frankfurt,Bundesliga,FW
Mohamed Achi,20.0,FRA,0.0,0.0,0.0,0.0,10.0,10.0,1,10,Nantes,Ligue 1,MF
Marcos AcuÃ±a,30.0,ARG,0.68,0.04,0.12,0.0,8.92,1.55,31,2260,Sevilla,La Liga,DF
Che Adams,25.0,SCO,2.16,0.31,0.13,0.31,5.29,0.4,30,2039,Southampton,Premier League,FW
Tyler Adams,23.0,USA,0.13,0.0,0.07,0.0,10.6,1.07,24,1351,RB Leipzig,Bundesliga,MF
Sargis Adamyan,29.0,ARM,0.81,0.27,0.0,1.08,7.03,2.16,13,331,Hoffenheim,Bundesliga,FW
Martin Adeline,18.0,FRA,1.03,0.0,0.0,0.0,10.3,3.08,8,352,Reims,Ligue 1,FW
Amine Adli,22.0,FRA,2.71,0.21,0.14,0.57,6.57,1.79,25,1256,Leverkusen,Bundesliga,FW
Yacine Adli,21.0,FRA,1.31,0.04,0.28,0.16,6.41,1.35,36,2260,Bordeaux,Ligue 1,FW
Michel Aebischer,25.0,SUI,0.41,0.0,0.0,0.0,6.73,1.63,12,443,Bologna,Serie A,MF
Felix Afena-Gyan,19.0,GHA,2.43,0.27,0.0,0.54,6.22,0.54,17,668,Roma,Serie A,FW
Martin Agirregabiria,26.0,ESP,0.28,0.0,0.06,0.06,8.33,1.28,24,1616,AlavÃ©s,La Liga,DF
Lucien Agoume,20.0,FRA,0.77,0.0,0.0,0.0,9.9,2.02,27,1868,Brest,Ligue 1,MF
Kevin Agudelo,23.0,COL,1.61,0.22,0.07,0.0,7.23,1.97,23,1237,Spezia,Serie A,FW
Nayef Aguerd,26.0,MAR,0.82,0.07,0.07,0.03,7.63,0.39,31,2735,Rennes,Ligue 1,DF
Sergio AgÃ¼ero,33.0,ARG,3.53,0.59,0.0,0.59,1.76,0.59,4,151,Barcelona,La Liga,FW
Ruben Aguilar,29.0,FRA,0.42,0.0,0.08,0.04,9.92,2.14,28,2140,Monaco,Ligue 1,DF
Ãlvaro Aguirre,22.0,ESP,0.0,0.0,0.0,0.0,10.0,10.0,1,9,Rayo Vallecano,La Liga,FW
Naouirou Ahamada,20.0,FRA,0.0,0.0,0.0,0.0,4.29,0.0,3,61,Stuttgart,Bundesliga,MF
Anel Ahmedhodzic,23.0,BIH,0.47,0.0,0.07,0.0,10.4,1.47,15,1350,Bordeaux,Ligue 1,DF
Jean-Eudes Aholou,28.0,CIV,1.52,0.09,0.09,0.0,10.4,0.89,25,1004,Strasbourg,Ligue 1,MF
Joseph Aidoo,26.0,GHA,0.2,0.0,0.0,0.03,9.59,1.4,32,2637,Celta Vigo,La Liga,DF
Ola Aina,25.0,NGA,0.63,0.0,0.0,0.06,7.88,0.94,21,1437,Torino,Serie A,DF
Rayan AÃ¯t Nouri,20.0,FRA,0.64,0.05,0.1,0.15,6.65,2.12,23,1828,Wolves,Premier League,DF
Kristoffer Ajer,24.0,NOR,0.32,0.05,0.14,0.0,8.38,0.99,24,1995,Brentford,Premier League,DF
Ludovic Ajorque,28.0,REU,1.94,0.39,0.26,0.46,3.75,0.82,36,2738,Strasbourg,Ligue 1,FW
Manuel Akanji,26.0,SUI,0.56,0.04,0.0,0.04,9.56,1.43,26,2261,Dortmund,Bundesliga,DF
Carlos Akapo,29.0,EQG,0.49,0.0,0.0,0.1,9.76,1.66,25,1844,CÃ¡diz,La Liga,DF
Marley AkÃ©,21.0,FRA,0.0,0.0,0.0,0.0,4.44,0.0,4,77,Juventus,Serie A,FW
Nathan AkÃ©,27.0,NED,0.49,0.19,0.0,0.0,7.57,0.49,14,923,Manchester City,Premier League,DF
Ilias Akhomach,18.0,ESP,2.86,0.0,0.0,0.0,7.14,0.0,2,124,Barcelona,La Liga,FW
